Eid|Sid|Order|Title|Created at|Description|Course
15|1|10|11. Parametric Hypothesis Testing (cont.) and Testing Goodness of Fit|2017-08-17T20:51:46Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|a66tfLdr6oY
16|1|11|12. Testing Goodness of Fit (cont.)|2017-08-17T20:51:46Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|vMaKx9fmJHE
17|1|12|13. Regression|2017-08-17T20:51:37Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|yP1S37BiEsQ
18|1|13|14. Regression (cont.)|2017-08-17T20:51:52Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|JBIz7UadY5M
19|1|14|15. Regression (cont.)|2017-08-17T20:51:55Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|V4xOdtqic3o
20|1|15|17. Bayesian Statistics|2017-08-17T20:51:40Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|bFZ-0FH5hfs
21|1|16|18. Bayesian Statistics (cont.)|2017-08-17T20:51:40Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|k2inA31Gups
22|1|17|19. Principal Component Analysis|2017-08-17T20:51:56Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|WW3ZJHPwvyg
23|1|18|20. Principal Component Analysis (cont.)|2017-08-17T20:51:41Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|a1ZCeFpeW0o
24|1|19|21. Generalized Linear Models|2017-08-17T20:51:45Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|X-ix97pw0xY
25|1|20|22. Generalized Linear Models (cont.)|2017-08-17T20:51:39Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|mc1y8m9-hOM
26|1|21|23. Generalized Linear Models (cont.)|2017-08-17T20:51:36Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|OYcdw5vOgIc
27|1|22|24. Generalized Linear Models (cont.)|2017-08-17T20:51:47Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|lWW54ts9Ubo
28|2|1|Gil Strang's Final 18.06 Linear Algebra Lecture|2023-05-15T16:11:07Z|Speakers:  Gilbert Strang, Alan Edelman, Pavel Grinfeld, Michel Goemans   Revered mathematics professor Gilbert Strang capped a 61-year career as a faculty member at MIT by delivering his final 18.06 Linear Algebra lecture before retiring at the age of 88. In addition to a brief review for the course final exam, the overflowing audience (both in person and on the live YouTube stream) heard recollections, appreciations, and congratulations from Prof. Strang’s colleagues and former students.  A rousing standing ovation concluded this historic event.  This video has been dubbed using an artificial voice via https://aloud.area120.google.com to increase accessibility. You can change the audio track language in the Settings menu.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|lUUte2o2Sn8
29|3|1|Lec 1 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-08-18T18:01:51Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|7K1sB05pE0A
30|3|2|Lec 2 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-01-16T23:05:13Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|ryLdyDrBfvI
31|3|3|Lec 3 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-01-16T23:37:15Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|kCPVBl953eY
32|3|4|Lec 4 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-01-16T22:42:17Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|4sTKcvYMNxk
33|3|5|Lec 5 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-01-16T22:58:51Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|5q_3FDOkVRQ
34|3|6|Lec 6 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-01-16T23:59:56Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|9v25gg2qJYE
35|3|7|Lec 7: Exam 1 review , MIT 18.01 Single Variable Calculus, Fall 2007|2009-01-16T22:58:18Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|eHJuAByQf5A
36|3|8|Lec 9 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-02-19T23:28:28Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|BSAA0akmPEU
37|3|9|Lec 10 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-08-18T17:44:56Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|eRCN3daFCmU
38|3|10|Lec 11 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-02-19T23:41:10Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|twzGBqPeW0M
39|3|11|Lec 12 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-02-20T01:04:07Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|YN7k_bXXggY
40|3|12|Lec 13 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-04-15T05:45:15Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|sRIDVAcoG5A
41|3|13|Lec 14 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-04-15T05:41:46Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|4Q37iOyBq44
42|3|14|Lec 15 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-04-15T06:18:22Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|-MI0b4h3rS0
43|3|15|Lec 16 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-08-18T18:02:49Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|60VGKnYBpbg
44|3|16|Lec 18 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-08-12T22:30:11Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|hjZhPczMkL4
45|3|17|Lec 19 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-08-12T22:41:25Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|1RLctDS2hUQ
46|3|18|Lec 20 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-08-12T22:26:00Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|Pd2xP5zDsRw
47|3|19|Lec 21 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-08-12T22:24:46Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|_JXPe2J069c
48|3|20|Lec 22 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-08-18T18:03:51Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|ShGBRUx2ub8
49|3|21|Lec 23 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-08-18T17:56:05Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|R9a_NHXrBcg
50|3|22|Lec 24 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-08-18T17:59:47Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|jBkXbAgMj6s
51|3|23|Lec 25 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-08-18T18:11:11Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|zUEuKrxgHws
52|3|24|Lec 27 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-09-09T19:14:53Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|Bv9kVDcj7yo
53|3|25|Lec 28 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-09-09T19:51:07Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|CXKoCMVqM9s
54|3|26|Lec 29 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-09-09T19:23:44Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|HgEqXhsIq_g
55|3|27|Lec 30 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-09-09T19:30:11Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|aeXp1zC6Hls
56|3|28|Lec 31 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-09-09T19:19:24Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|TpWQlKHPyJ4
57|3|29|Lec 32 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-09-09T19:25:20Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|XRkgBWbWvg4
58|3|30|Lec 33 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-09-09T19:18:23Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|BGE3wb7H2PA
59|3|31|Lec 35 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-09-09T19:27:09Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|PNTnmH6jsRI
60|3|32|Lec 36 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-09-09T19:21:54Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|KhwQKE_tld0
61|3|33|Lec 37 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-09-09T19:21:54Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|MK_0QHbUnIA
62|3|34|Lec 38 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-09-09T19:29:23Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|wOHrNt9ScYs
63|3|35|Lec 39 , MIT 18.01 Single Variable Calculus, Fall 2007|2009-09-09T19:10:07Z|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms|--lPz7VFnKI
