Eid|Sid|Order|Title|Created at|Description|Course
41|0|42|Sodium-potassium pump , Cells , MCAT , Khan Academy|2010-02-11T23:16:52Z|Covers topics seen in a first year college or high school biology course.|C_H-ONQFjpQ
42|0|43|Correction to sodium-potassium pump video , Health & Medicine , Khan Academy|2010-07-12T01:03:41Z|Covers topics seen in a first year college or high school biology course.|ye3rTjLCvAU
43|0|44|Electrotonic and Action Potentials|2010-02-12T00:31:03Z|Covers topics seen in a first year college or high school biology course.|gkQtRec2464
44|0|45|Private video||Covers topics seen in a first year college or high school biology course.|7wgb7ggzFNs
45|0|46|Neuronal synapses (chemical) , Human anatomy and physiology , Health & Medicine , Khan Academy|2010-02-12T19:02:37Z|Covers topics seen in a first year college or high school biology course.|Tbq-KZaXiL4
46|0|47|Myosin and actin , Circulatory system physiology , NCLEX-RN , Khan Academy|2010-02-15T19:57:31Z|Covers topics seen in a first year college or high school biology course.|zopoN2i7ALQ
47|0|48|How tropomyosin and troponin regulate muscle contraction , NCLEX-RN , Khan Academy|2010-02-15T21:45:59Z|Covers topics seen in a first year college or high school biology course.|LiOfeSsjrB8
48|0|49|Role of the sarcoplasmic reticulum in muscle cells , NCLEX-RN , Khan Academy|2010-02-16T18:19:32Z|Covers topics seen in a first year college or high school biology course.|SauhB2fYQkM
49|0|50|Anatomy of a muscle cell|2010-02-16T19:53:54Z|Covers topics seen in a first year college or high school biology course.|uY2ZOsCnXIA
50|0|51|Role of phagocytes in innate or nonspecific immunity , NCLEX-RN , Khan Academy|2010-02-18T19:59:10Z|Covers topics seen in a first year college or high school biology course.|O1N2rENXq_Y
51|0|52|Types of immune responses: Innate and adaptive, humoral vs. cell-mediated , NCLEX-RN , Khan Academy|2010-02-18T22:15:26Z|Covers topics seen in a first year college or high school biology course.|rp7T4IItbtM
52|0|53|B lymphocytes (B cells) , Immune system physiology , NCLEX-RN , Khan Academy|2010-02-18T22:32:35Z|Covers topics seen in a first year college or high school biology course.|Z36dUduOk1Y
53|0|54|Professional antigen presenting cells (APC) and MHC II complexes , NCLEX-RN , Khan Academy|2010-02-19T00:20:05Z|Covers topics seen in a first year college or high school biology course.|j_kSmmEpvQk
54|0|55|Helper T cells , Immune system physiology , NCLEX-RN , Khan Academy|2010-02-19T02:55:52Z|Covers topics seen in a first year college or high school biology course.|uwMYpTYsNZM
55|0|56|Cytotoxic T cells , Immune system physiology , NCLEX-RN , Khan Academy|2010-02-19T18:38:14Z|Covers topics seen in a first year college or high school biology course.|oqI4skjr6lQ
56|0|57|Review of B cells, CD4+ T cells and CD8+ T cells , NCLEX-RN , Khan Academy|2010-02-19T19:19:41Z|Covers topics seen in a first year college or high school biology course.|xaz5ftvZCyI
57|0|58|Inflammatory response , Human anatomy and physiology , Health & Medicine , Khan Academy|2010-02-24T20:03:25Z|Covers topics seen in a first year college or high school biology course.|FXSuEIMrPQk
58|0|59|The kidney and nephron , Renal system physiology , NCLEX-RN , Khan Academy|2010-03-03T18:32:36Z|Covers topics seen in a first year college or high school biology course.|cc8sUv2SuaY
59|0|60|Secondary active transport in the nephron , Renal system physiology , NCLEX-RN , Khan Academy|2010-03-03T20:03:29Z|Covers topics seen in a first year college or high school biology course.|czY5nyvZ7cU
60|0|61|Species|2011-11-01T19:42:36Z|Covers topics seen in a first year college or high school biology course.|Tmt4zrDK3dA
61|0|62|Taxonomy and the Tree of Life|2011-11-02T00:10:57Z|Covers topics seen in a first year college or high school biology course.|oHvLlS_Sc54
62|1|1|Intro to Economics - Course Trailer|2019-07-11T19:54:13Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|wCHm5SdNO5U
63|1|2|Introduction to economics , Supply, demand, and market equilibrium , Economics , Khan Academy|2012-06-28T19:26:53Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|8JYP_wU1JTU
64|1|3|Scarcity , Basic economics concepts , Economics , Khan Academy|2017-08-07T18:14:18Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|iy-fhpbTH9E
65|1|4|Four factors of production , AP Microeconomics , Khan Academy|2019-02-12T20:43:04Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|-IvwoqPh1_I
66|1|5|Scarcity and rivalry , Basic Economic Concepts , Microeconomics , Khan Academy|2018-10-18T16:35:19Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|uVA1-m8SVvA
67|1|6|Normative and positive statements , Basic economics concepts , AP Macroeconomics , Khan Academy|2017-08-11T21:44:52Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|YtX6SGw7E3c
68|1|7|Economic models , Basic economics concepts , AP Macroeconomics and Microeconomics , Khan Academy|2017-08-08T16:59:04Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|7n_Hf_UsW7I
69|1|8|Command and market economies , Basic economics concepts , AP Macroeconomics , Khan Academy|2017-08-14T22:43:02Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|Ve6K10-Yx_M
70|1|9|Production possibilities frontier , Microeconomics , Khan Academy|2011-12-29T19:40:53Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|_7VHfuWV-Qg
71|1|10|Opportunity Cost|2011-12-29T20:18:28Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|pkEiHZAtoro
72|1|11|Increasing opportunity cost , Microeconomics , Khan Academy|2011-12-29T20:44:53Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|00fgAG6VrRQ
73|1|12|PPCs for increasing, decreasing and constant opportunity cost , AP Macroeconomics , Khan Academy|2017-11-17T18:22:25Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|-aVZtzD44vI
74|1|13|Production Possibilities Curve as a model of a country's economy , AP Macroeconomics , Khan Academy|2017-12-12T22:20:01Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|9zZY6RfN6iA
75|1|14|Comparative advantage specialization and gains from trade , Microeconomics , Khan Academy|2011-12-30T16:49:58Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|xx9xNJlPOJo
76|1|15|Comparative advantage and absolute advantage , Microeconomics , Khan Academy|2011-12-30T17:31:13Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|xN3UV5FsBkU
77|1|16|Opportunity cost and comparative advantage using an output table , AP Macroeconomics , Khan Academy|2017-11-18T06:20:32Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|K8p0F92gVUM
78|1|17|Terms of Trade and the Gains from Trade , AP Macroeconomics , Khan Academy|2017-11-20T20:13:47Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|C-xLUS5JGIM
79|1|18|Input approach to determining comparative advantage , AP Macroeconomics , Khan Academy|2017-11-20T23:35:40Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|Uqf5c6Xcjr4
80|1|19|When there aren't gains from trade , Basic economics concepts , AP Macroeconomics , Khan Academy|2017-10-09T19:14:57Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|TeAzW_tY6m4
81|1|20|Law of demand , Supply, demand, and market equilibrium , Microeconomics , Khan Academy|2011-12-30T23:21:23Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|ShzPtU7IOXs
82|1|21|Price of related products and demand , Microeconomics , Khan Academy|2011-12-30T23:49:00Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|-oClpRv7msg
83|1|22|Change in expected future prices and demand , Microeconomics , Khan Academy|2019-04-16T23:45:41Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|7siSvYs84fg
84|1|23|Normal and inferior goods , Supply, demand, and market equilibrium , Microeconomics , Khan Academy|2011-12-31T00:46:15Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|wYuAwm-5-Bk
85|1|24|Change in demand versus change in quantity demanded , AP Macroeconomics , Khan Academy|2017-11-21T00:20:49Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|iC9hkhbIimA
86|1|25|Law of supply , Supply, demand, and market equilibrium , Microeconomics , Khan Academy|2012-01-02T18:12:39Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|3xCzhdVtdMI
87|1|26|Factors affecting supply , Supply, demand, and market equilibrium , Microeconomics , Khan Academy|2012-01-02T19:09:46Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|0isM0GF-rMI
88|1|27|Change in supply versus change in quantity supplied , AP Macroeconomics , Khan Academy|2017-11-21T07:45:07Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|NrlF8mMHfLE
89|1|28|Market equilibrium , Supply, demand, and market equilibrium , Microeconomics , Khan Academy|2012-01-02T19:57:29Z|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|PEMkfgrifDw
